Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
61-short-sleeve-tee,,,,,,,,Lotus,,L,,,SKA-F6120:Lotus:L,0,shopify,deny,manual,70.00,,true,true,ns75864,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Char Wash,,XS,,,SKA-F6120:Char Wash:XS,0,shopify,deny,manual,70.00,,true,true,ns75865,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_char_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Char Wash,,S,,,SKA-F6120:Char Wash:S,0,shopify,deny,manual,70.00,,true,true,ns75866,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_char_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Char Wash,,M,,,SKA-F6120:Char Wash:M,0,shopify,deny,manual,70.00,,true,true,ns75867,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_char_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Char Wash,,L,,,SKA-F6120:Char Wash:L,0,shopify,deny,manual,70.00,,true,true,ns75868,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_char_1_copy.jpg?v=1573504228,lb,,
001-eau-de-parfum,001 Eau De Parfum,"<div>001 orange blossom, petitgrain, bergamot</div>
<div>Cologne</div>
<br>
<div>Cologne intense</div>
<div>30 ml – 1 fl.oz.</div>
<br>
<div>Eternal Cologne with floral notes.</div>
<div>Top: Bergamot, Lemon, Mandarin, Rosemary</div>
<div>Middle: Neroli, Jasmine, Lavender, Petitgrain</div>
<div>Base: Musk, Orange Blossom</div>
<div></div>
<br>
<div>
<meta charset=""utf-8"">
<strong>This<span> </span>item is excluded from all promotional offers.</strong>
</div>
<br>
<div>
<meta charset=""utf-8"">
<p><span style=""color: #ff0000;""><b>FINAL SALE ITEM</b></span></p>
<p><span style=""font-weight: 400;"">Final Sale items cannot be returned or exchanged. Please note that if we receive a returned Final Sale item or items, the package will be returned to you, we will notify you via email, and you will not receive a refund. </span>For Beauty and Grooming products: If the product causes an allergic reaction, you can return or exchange the product within 30 days of the original purchase date.</p>
</div>
<div>
<div></div>
</div>",Bon Parfumeur,WOMEN,"Beauty, bon-parfumeur, color-1, Fragrance, under-100",true,Color,1,Size,1oz,,,BPR-BP001CI30:001:1oz,0,shopify,continue,manual,48.00,,true,true,'051517,https://cdn.shopify.com/s/files/1/3039/0972/products/001_Eau_De_Parfum.jpg?v=1571720099,1,,false,,,,,,,,,,,,,,,,,kg,,
001-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/001_Eau_De_Parfum2.jpg?v=1571720099,2,,,,,,,,,,,,,,,,,,,,,
001-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/001_Eau_De_Parfum3.jpg?v=1571720099,3,,,,,,,,,,,,,,,,,,,,,
101-eau-de-parfum,101 Eau De Parfum,"<div>101 rose, sweet pea, patchouli</div>
<div>Floral</div>
<br>
<div>Eau de parfum</div>
<div>30 ml – 1 fl. oz.</div>
<br>
<div>Rose and musk, sensual and delicate.</div>
<div>Top: Bergamot, Cardamom, Lavendar</div>
<div>Middle: Turkish Rose, Lily of the Valley, White Cedar, Sweet Pea</div>
<div>Base: Amber, Cristal, Patchouli, Musk</div>
<p> </p>
<meta charset=""utf-8"">
<p><strong>This<span> </span>item is excluded from all promotional offers.</strong></p>
<div>
<meta charset=""utf-8"">
<p><span style=""color: #ff0000;""><b>FINAL SALE ITEM</b></span></p>
<p><span style=""font-weight: 400;"">Final Sale items cannot be returned or exchanged. Please note that if we receive a returned Final Sale item or items, the package will be returned to you, we will notify you via email, and you will not receive a refund. </span>For Beauty and Grooming products: If the product causes an allergic reaction, you can return or exchange the product within 30 days of the original purchase date.</p>
</div>
<div>
<div></div>
</div>",Bon Parfumeur,WOMEN,"Beauty, Fragrance, under-100",true,Color,101,Size,1oz,,,BPR-BP101EDP30:101:1oz,0,shopify,deny,manual,48.00,,true,true,'051514,https://cdn.shopify.com/s/files/1/3039/0972/products/101_Eau_De_Parfum.jpg?v=1571720099,1,,false,,,,,,,,,,,,,,,,,kg,,
101-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/101_Eau_De_Parfum2.jpg?v=1571720099,2,,,,,,,,,,,,,,,,,,,,,
